Iterations: 20 
      populationSize |     numOfGenerations |        Max |        Min |    Average |     Rounds 
                1700 |                  700 |   23311 ms |       7 ms |    1683 ms |         21 
                1700 |                  800 |   61223 ms |       7 ms |    3718 ms |         22 
                1700 |                  900 |   39020 ms |      10 ms |    7824 ms |         24 
                1700 |                 1000 |   48021 ms |       4 ms |    9604 ms |         24 
                1700 |                 1100 |    4087 ms |       8 ms |     399 ms |         20 
                1700 |                 1200 |   69344 ms |       7 ms |    7885 ms |         22 
                1700 |                 1300 |   81642 ms |       5 ms |    8174 ms |         22 
                1700 |                 1400 |  189637 ms |      16 ms |   26666 ms |         25 
                1700 |                 1500 |    2693 ms |      11 ms |     299 ms |         20 
                1800 |                  500 |   13299 ms |      14 ms |    2176 ms |         23 
                1800 |                  600 |   19163 ms |       2 ms |    1060 ms |         21 
                1800 |                  700 |   26017 ms |      19 ms |    1644 ms |         21 
                1800 |                  800 |   34254 ms |       8 ms |    6284 ms |         23 
                1800 |                  900 |   86589 ms |      11 ms |   10878 ms |         25 
                1800 |                 1000 |   54196 ms |      12 ms |    8151 ms |         23 
                1800 |                 1100 |   65370 ms |       2 ms |    6685 ms |         22 
                1800 |                 1200 |     610 ms |       5 ms |     101 ms |         20 
                1800 |                 1300 |   91112 ms |      12 ms |    4619 ms |         21 
                1800 |                 1400 |  207343 ms |       4 ms |   15897 ms |         23 
                1800 |                 1500 |  121737 ms |      10 ms |    8324 ms |         21 
                1900 |                  500 |   15185 ms |      11 ms |    3001 ms |         24 
                1900 |                  600 |   21543 ms |       3 ms |    1350 ms |         21 
                1900 |                  700 |   29151 ms |       8 ms |    2964 ms |         22 
                1900 |                  800 |   37819 ms |      10 ms |    4356 ms |         22 
                1900 |                  900 |   48331 ms |      13 ms |    2726 ms |         21 
                1900 |                 1000 |   68708 ms |      15 ms |   12395 ms |         24 
                1900 |                 1100 |   72602 ms |       3 ms |    3663 ms |         21 
                1900 |                 1200 |   90251 ms |      11 ms |   17368 ms |         24 
                1900 |                 1300 |    5525 ms |       2 ms |     321 ms |         20 
                1900 |                 1400 |     415 ms |       5 ms |      46 ms |         20 
                1900 |                 1500 |  135543 ms |       7 ms |   16643 ms |         22 
                2000 |                  500 |   16313 ms |      15 ms |     937 ms |         21 
                2000 |                  600 |   23421 ms |      13 ms |    1204 ms |         21 
                2000 |                  700 |     139 ms |      12 ms |      44 ms |         20 
                2000 |                  800 |   41697 ms |       3 ms |    2132 ms |         21 
                2000 |                  900 |  106121 ms |      20 ms |    8262 ms |         23 
                2000 |                 1000 |   66225 ms |      14 ms |    6733 ms |         22 
                2000 |                 1100 |  103962 ms |      16 ms |    9230 ms |         22 
                2000 |                 1200 |   98744 ms |       6 ms |   19270 ms |         24 
                2000 |                 1300 |  112587 ms |      11 ms |   25011 ms |         24 
                2000 |                 1400 |  254573 ms |      13 ms |   25803 ms |         24 
                2000 |                 1500 |    1655 ms |      14 ms |     162 ms |         20 
                2100 |                  500 |   18019 ms |      18 ms |    1043 ms |         21 
                2100 |                  600 |     395 ms |       8 ms |      92 ms |         20 
                2100 |                  700 |   35307 ms |      11 ms |    1891 ms |         21 
                2100 |                  800 |   46253 ms |      14 ms |    6966 ms |         23 
                2100 |                  900 |   74157 ms |      26 ms |   13917 ms |         24 
                2100 |                 1000 |     644 ms |       6 ms |      84 ms |         20 
                2100 |                 1100 |     742 ms |      19 ms |      72 ms |         20 
                2100 |                 1200 |   63643 ms |      20 ms |    3227 ms |         20 
                2100 |                 1300 |     163 ms |      15 ms |      49 ms |         20 
                2100 |                 1400 |    1176 ms |      15 ms |     101 ms |         20 
                2100 |                 1500 |  315204 ms |      10 ms |   24827 ms |         23 
                2200 |                  500 |   19082 ms |       4 ms |    1001 ms |         21 
                2200 |                  600 |   27542 ms |      13 ms |    1422 ms |         21 
                2200 |                  700 |     200 ms |       9 ms |      45 ms |         20 
                2200 |                  800 |   49002 ms |       8 ms |    2494 ms |         21 
                2200 |                  900 |   62019 ms |      10 ms |    3152 ms |         21 
                2200 |                 1000 |   75898 ms |      10 ms |    3957 ms |         21 
                2200 |                 1100 |     553 ms |      10 ms |      89 ms |         20 
                2200 |                 1200 |  110113 ms |       8 ms |    5612 ms |         21 
                2200 |                 1300 |  129935 ms |      13 ms |    6812 ms |         21 
                2200 |                 1400 |  150526 ms |      17 ms |    7596 ms |         21 
                2200 |                 1500 |  172695 ms |      21 ms |    9068 ms |         21 
                2300 |                  500 |   20860 ms |      14 ms |    1084 ms |         21 
                2300 |                  600 |   30250 ms |      17 ms |    1577 ms |         21 
                2300 |                  700 |   40666 ms |      15 ms |    5360 ms |         22 
                2300 |                  800 |   53048 ms |       8 ms |    4294 ms |         21 
                2300 |                  900 |     255 ms |      14 ms |      58 ms |         20 
                2300 |                 1000 |   83399 ms |      14 ms |    4208 ms |         21 
                2300 |                 1100 |  100929 ms |      11 ms |   10129 ms |         22 
                2300 |                 1200 |    1005 ms |      20 ms |     107 ms |         20 
                2300 |                 1300 |     267 ms |      16 ms |      57 ms |         20 
                2300 |                 1400 |    6230 ms |      19 ms |     397 ms |         20 
                2300 |                 1500 |    3306 ms |      14 ms |     245 ms |         20 
                2400 |                  500 |    9973 ms |       9 ms |     611 ms |         20 
