      Time (SECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  3 |                  1 |                  0 | 
                   1 |                 46 |                 39 |                 13 | 
                   2 |                 46 |                 43 |                 13 | 
                   3 |                 46 |                 45 |                 26 | 
                   4 |                 46 |                 45 |                 26 | 
                   5 |                 46 |                 46 |                 26 | 
                   6 |                 46 |                 46 |                 26 | 
                   7 |                 46 |                 46 |                 26 | 
                   8 |                 46 |                 46 |                 26 | 
                   9 |                 46 |                 46 |                 26 | 
                  10 |                 46 |                 46 |                 26 | 
                  11 |                 46 |                 46 |                 26 | 
                  12 |                 46 |                 46 |                 26 | 
                  13 |                 46 |                 46 |                 26 | 
                  14 |                 46 |                 46 |                 26 | 
                  15 |                 46 |                 46 |                 26 | 
                  16 |                 46 |                 46 |                 26 | 
                  17 |                 46 |                 46 |                 26 | 
                  18 |                 46 |                 46 |                 26 | 
                  19 |                 46 |                 46 |                 26 | 
                  20 |                 46 |                 46 |                 26 | 
                  21 |                 46 |                 46 |                 26 | 
                  22 |                 46 |                 46 |                 26 | 
                  23 |                 46 |                 46 |                 30 | 
                  24 |                 46 |                 46 |                 32 | 
                  25 |                 46 |                 46 |                 32 | 
                  26 |                 46 |                 46 |                 32 | 
                  27 |                 46 |                 46 |                 32 | 
                  28 |                 46 |                 46 |                 32 | 
                  29 |                 46 |                 46 |                 32 | 
                  30 |                 46 |                 46 |                 32 | 
                  31 |                 46 |                 46 |                 34 | 
                  32 |                 46 |                 46 |                 34 | 
                  33 |                 46 |                 46 |                 34 | 
                  34 |                 46 |                 46 |                 34 | 
                  35 |                 46 |                 46 |                 34 | 
                  36 |                 46 |                 46 |                 34 | 
                  37 |                 46 |                 46 |                 34 | 
                  38 |                 46 |                 46 |                 34 | 
                  39 |                 46 |                 46 |                 34 | 
                  40 |                 46 |                 46 |                 34 | 
                  41 |                 46 |                 46 |                 34 | 
                  42 |                 46 |                 46 |                 34 | 
                  43 |                 46 |                 46 |                 34 | 
                  44 |                 46 |                 46 |                 34 | 
                  45 |                 46 |                 46 |                 34 | 
                  46 |                 46 |                 46 |                 34 | 
                  47 |                 46 |                 46 |                 34 | 
                  48 |                 46 |                 46 |                 34 | 
                  49 |                 46 |                 46 |                 34 | 
                  50 |                 46 |                 46 |                 34 | 
                  51 |                 46 |                 46 |                 36 | 
                  52 |                 46 |                 46 |                 43 | 
                  53 |                 46 |                 46 |                 43 | 
                  54 |                 46 |                 46 |                 43 | 
                  55 |                 46 |                 46 |                 43 | 
                  56 |                 46 |                 46 |                 43 | 
                  57 |                 46 |                 46 |                 43 | 
                  58 |                 46 |                 46 |                 43 | 
                  59 |                 46 |                 46 |                 43 | 
                  60 |                 46 |                 46 |                 43 | 
                  61 |                 46 |                 46 |                 43 | 
                  62 |                 46 |                 46 |                 43 | 
                  63 |                 46 |                 46 |                 43 | 
                  64 |                 46 |                 46 |                 43 | 
                  65 |                 46 |                 46 |                 43 | 
                  66 |                 46 |                 46 |                 43 | 
                  67 |                 46 |                 46 |                 43 | 
                  68 |                 46 |                 46 |                 43 | 
                  69 |                 46 |                 46 |                 43 | 
                  70 |                 46 |                 46 |                 43 | 
                  71 |                 46 |                 46 |                 43 | 
                  72 |                 46 |                 46 |                 44 | 
                  73 |                 46 |                 46 |                 45 | 
                  74 |                 46 |                 46 |                 45 | 
                  75 |                 46 |                 46 |                 45 | 
                  76 |                 46 |                 46 |                 45 | 
                  77 |                 46 |                 46 |                 45 | 
                  78 |                 46 |                 46 |                 45 | 
                  79 |                 46 |                 46 |                 45 | 
                  80 |                 46 |                 46 |                 45 | 
                  81 |                 46 |                 46 |                 45 | 
                  82 |                 46 |                 46 |                 45 | 
                  83 |                 46 |                 46 |                 45 | 
                  84 |                 46 |                 46 |                 45 | 
                  85 |                 46 |                 46 |                 45 | 
                  86 |                 46 |                 46 |                 45 | 
                  87 |                 46 |                 46 |                 45 | 
                  88 |                 46 |                 46 |                 45 | 
                  89 |                 46 |                 46 |                 45 | 
                  90 |                 46 |                 46 |                 45 | 
                  91 |                 46 |                 46 |                 45 | 
                  92 |                 46 |                 46 |                 45 | 
                  93 |                 46 |                 46 |                 45 | 
                  94 |                 46 |                 46 |                 45 | 
                  95 |                 46 |                 46 |                 45 | 
                  96 |                 46 |                 46 |                 45 | 
                  97 |                 46 |                 46 |                 45 | 
                  98 |                 46 |                 46 |                 45 | 
                  99 |                 46 |                 46 |                 45 | 
                 100 |                 46 |                 46 |                 45 | 
                 101 |                 46 |                 46 |                 45 | 
                 102 |                 46 |                 46 |                 45 | 
                 103 |                 46 |                 46 |                 45 | 
                 104 |                 46 |                 46 |                 45 | 
                 105 |                 46 |                 46 |                 45 | 
                 106 |                 46 |                 46 |                 45 | 
                 107 |                 46 |                 46 |                 45 | 
                 108 |                 46 |                 46 |                 45 | 
                 109 |                 46 |                 46 |                 45 | 
                 110 |                 46 |                 46 |                 45 | 
                 111 |                 46 |                 46 |                 45 | 
                 112 |                 46 |                 46 |                 45 | 
                 113 |                 46 |                 46 |                 45 | 
                 114 |                 46 |                 46 |                 45 | 
                 115 |                 46 |                 46 |                 45 | 
                 116 |                 46 |                 46 |                 45 | 
                 117 |                 46 |                 46 |                 45 | 
                 118 |                 46 |                 46 |                 45 | 
                 119 |                 46 |                 46 |                 45 | 
                 120 |                 46 |                 46 |                 45 | 
                 121 |                 46 |                 46 |                 46 | 
